ISO,Country,Emp,Unemp,BroadLabUnder,EarnQual,LabMarkSec,JobStrain,LowIncome,GenderIneq,EmplGap,YEmp,Yunemp,YBroadLabUnder,YEarnQual,YLabMarkSec,YJobStrain,YLowIncome,YGenderIneq,YEmplGap,evoEmp,evoUnemp,evoBroadLabUnder,evoEarnQual,evoLabMarkSec,evoJobStrain,evoLowIncome,evoGenderIneq,evoEmplGap
OECD,OECD,71.32925,6.500088,28.11888333,16.81709214,4.862811471,27.48568688,10.64857143,38.53197753,24.89029031,2016,2016,2015,2015,2016,2015,2015,2015,2016,1.0781,0.219656,1.360894946,1.305017571,1.298457771,-7.052771875,1.021731723,-4.970779435,-3.788476966
COL,Colombia,73.45989,9.534614,29.85428,1.956726,11.0353305,,,38.15400302,34.28785,2016,2016,2015,2015,2016,2015,2015,2015,2016,13.26108,-1.918436,,,,,,,
CRI,Costa Rica,65.35154,9.685067,38.22252,3.019714,7.247772897,,17.5,,44.87952,2016,2016,2015,2015,2016,2015,2015,2015,2016,3.13968,3.886169,,,,,,,
LTU,Lithuania,75.14724,8.062168,25.21259,7.528314,,30.77374,14.7,26.92271173,17.62762,2016,2016,2015,2015,2016,2015,2015,2015,2016,11.54044,2.212975,0.41693,,,-21.64918,4.3,-0.263080001,-5.100836
ARG,Argentina,68.837,8.666309,,3.695061,7.470606811,,,49.43959415,38.78458,2016,2016,2015,2015,2016,2015,2015,2015,2016,7.14238,-1.624081,,,,,,-4.68724668,3.698513
BRA,Brazil,69.47273,9.836524,,2.277519,6.56200143,,17.3,48.18113744,39.19002,2016,2016,2015,2015,2016,2015,2015,2015,2016,2.08713,1.216445,,0.11624,,,-0.3,-7.537922263,2.359747
CHN,China,78.98512,2.949935,,2.780168,5.81593,28.9321,26,,32.00977,2016,2016,2015,2015,2016,2015,2015,2015,2016,-0.32689,-0.734513,,,,,,,
IND,India,59.47689,3.718345,,1.099238,3.6,30.72444,17.1,,50.11845,2016,2016,2015,2015,2016,2015,2015,2015,2016,1.59533,-0.755932,,0.4283436,,,-0.3,,3.757912
IDN,Indonesia,71.60721,6.424156,,1.2,8.19,,,,40.12157,2016,2016,2015,2015,2016,2015,2015,2015,2016,10.7227,-4.127584,,,,,,,-3.47962
RUS,Russia,74.56382,5.567429,23.62176,4.115801,5.13894628,33.43036,12.8,,35.44979,2016,2016,2015,2015,2016,2015,2015,2015,2016,7.72036,-1.563716,,1.648787,,-24.4235,,,
SAU,Saudi Arabia,59.97791,5.746169,,,,,,,,2016,2016,2015,2015,2016,2015,2015,2015,2016,11.02322,-0.063221,,,,,,,
ZAF,South Africa,49.6514,26.71532,50.16497,1.898736,22.63668213,26.68433,23.9,,50.33107,2016,2016,2015,2015,2016,2015,2015,2015,2016,4.75581,4.09956,,0.361135,,-21.83557,,,
